velocity,altitude,best_m,best_p,best_t,finesse_max,naca_complet
166.45377893748736,6945.858698758106,9,6,3,398.03496664475716,9603
195.69738906376884,8312.652159606443,7,6,4,355.851976725097,7604
64.83861763652013,422.6964116028573,9,6,3,322.75745581161954,9603
230.13209815345013,2915.564495013553,6,5,3,232.28598813039167,6503
86.22719811514277,8246.959398244431,8,7,5,316.6534331702611,8705
221.26384010239678,6813.933254534293,5,6,4,238.4886712037475,5604
111.2174467671556,6578.953579786298,9,6,3,339.91471577950404,9603
206.63598529906633,11459.468597506817,5,6,3,276.1299491335128,5603
131.8428650737382,8546.282191946448,9,6,3,350.7690990563935,9603
74.97470748521857,10983.609999987277,8,7,4,268.0225621946686,8704
62.22270825203249,6065.335623948404,8,7,4,301.4615852518325,8704
192.98669210019915,5845.63221942533,9,6,3,396.9568631137222,9603
154.61960437863547,528.1168362814861,9,6,5,394.66033417687925,9605
164.89811654765106,11241.773798426693,8,7,6,364.8783333445085,8706
64.08040212289589,2093.968052568922,9,7,5,316.0296796350098,9705
190.14254624958681,737.4469293840989,9,6,5,410.9793254804451,9605
176.89057811239803,11192.44121712689,9,6,3,379.98242501777224,9603
154.15848933750365,3142.6563958911065,9,6,5,390.96459682698844,9605
130.2099746327477,4867.755255136294,9,6,3,367.8102898290454,9603
91.54355223458283,9776.95213925014,8,7,4,311.50936370698014,8704
79.69782607370901,462.6439262727535,9,6,3,340.19874115948227,9603
163.9221478988124,7791.247248098788,9,6,3,392.7093639914521,9603
232.01021913738867,3632.8683212134224,6,5,2,216.7854741945301,6502
96.71854702644293,9927.70427441912,8,7,5,316.2274160611328,8705
86.8565654883662,1908.8742969584937,9,6,3,340.1983681747916,9603
238.65919478746963,10331.354161199204,3,6,3,134.30922852936217,3603
128.66738719322464,1206.5414533653548,9,6,4,374.40278683784703,9604
147.8481375706355,5848.842270279891,9,6,3,381.39017027413684,9603
